. Semoga kedepan.ny semakin berkembang	5	positif	id	semoga kedepanny semakin berkembang	['semoga', 'kedepanny', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'berkembang']	['moga', 'depan', 'kembang']
Adakan sosialisasi dan pembinaan dulu ke masyarakat sebelum peraturan diberlakukan...	5	positif	id	adakan sosialisasi dan pembinaan dulu ke masyarakat sebelum peraturan diberlakukan	['adakan', 'sosialisasi', 'dan', 'pembinaan', 'dulu', 'ke', 'masyarakat', 'sebelum', 'peraturan', 'diberlakukan']	['adakan', 'sosialisasi', 'dan', 'pembinaan', 'dulu', 'ke', 'masyarakat', 'sebelum', 'peraturan', 'diberlakukan']	['adakan', 'sosialisasi', 'pembinaan', 'masyarakat', 'peraturan', 'diberlakukan']	['adakan', 'sosialisasi', 'bina', 'masyarakat', 'atur', 'laku']
Adanya apk ini memudah kan membeli bensin	5	positif	id	adanya apk ini memudah kan membeli bensin	['adanya', 'apk', 'ini', 'memudah', 'kan', 'membeli', 'bensin']	['adanya', 'aplikasi', 'ini', 'memudah', 'kan', 'membeli', 'bensin']	['aplikasi', 'memudah', 'membeli', 'bensin']	['aplikasi', 'mudah', 'beli', 'bensin']
Aduhhh gimana mau pakai... Tolong aplikasinya diperbaiki dlu baru dijalankan.... Ckckckkckc	2	negatif	id	aduhhh gimana mau pakai tolong aplikasinya diperbaiki dlu baru dijalankan ckckckkckc	['aduhhh', 'gimana', 'mau', 'pakai', 'tolong', 'aplikasinya', 'diperbaiki', 'dlu', 'baru', 'dijalankan', 'ckckckkckc']	['aduh', 'bagaimana', 'mau', 'pakai', 'tolong', 'aplikasinya', 'diperbaiki', 'dulu', 'baru', 'dijalankan', 'ckckckkckc']	['aduh', 'pakai', 'tolong', 'aplikasinya', 'diperbaiki', 'dijalankan', 'ckckckkckc']	['aduh', 'pakai', 'tolong', 'aplikasi', 'baik', 'jalan', 'ckckckkckc']
Agak ribet daftar nyah	2	negatif	id	agak ribet daftar nyah	['agak', 'ribet', 'daftar', 'nyah']	['agak', 'ribet', 'daftar', 'nya']	['ribet', 'daftar']	['ribet', 'daftar']
Agak susah terlebih bagi generasi lama, tapi walau lama petunjuk bisa diikuti	4	positif	id	agak susah terlebih bagi generasi lama tapi walau lama petunjuk bisa diikuti	['agak', 'susah', 'terlebih', 'bagi', 'generasi', 'lama', 'tapi', 'walau', 'lama', 'petunjuk', 'bisa', 'diikuti']	['agak', 'susah', 'terlebih', 'bagi', 'generasi', 'lama', 'tapi', 'walau', 'lama', 'petunjuk', 'bisa', 'diikuti']	['susah', 'generasi', 'petunjuk', 'diikuti']	['susah', 'generasi', 'tunjuk', 'ikut']
Agar lebih dimaximalkan lagi aplikasinya, sehingga membantu mempermudah pengguna aplikasi	4	positif	id	agar lebih dimaximalkan lagi aplikasinya sehingga membantu mempermudah pengguna aplikasi	['agar', 'lebih', 'dimaximalkan', 'lagi', 'aplikasinya', 'sehingga', 'membantu', 'mempermudah', 'pengguna', 'aplikasi']	['agar', 'lebih', 'dimaksimalkan', 'lagi', 'aplikasinya', 'sehingga', 'membantu', 'mempermudah', 'pengguna', 'aplikasi']	['dimaksimalkan', 'aplikasinya', 'membantu', 'mempermudah', 'pengguna', 'aplikasi']	['maksimal', 'aplikasi', 'bantu', 'mudah', 'guna', 'aplikasi']
Akan lebih baik jika bisa topup langsung ke Indomart dsb.	2	negatif	id	akan lebih baik jika bisa topup langsung ke indomart dsb	['akan', 'lebih', 'baik', 'jika', 'bisa', 'topup', 'langsung', 'ke', 'indomart', 'dsb']	['akan', 'lebih', 'baik', 'jika', 'bisa', 'pengisian ulang', 'langsung', 'ke', 'indomart', 'dsb']	['pengisian ulang', 'langsung', 'indomart', 'dsb']	['isi ulang', 'langsung', 'indomart', 'dsb']
Akhirnya bisa di pakai	4	positif	id	akhirnya bisa di pakai	['akhirnya', 'bisa', 'di', 'pakai']	['akhirnya', 'bisa', 'di', 'pakai']	['pakai']	['pakai']
Alhamdulilah cepet	4	positif	id	alhamdulilah cepet	['alhamdulilah', 'cepet']	['alhamdulilah', 'cepat']	['alhamdulilah', 'cepat']	['alhamdulilah', 'cepat']
Alhamdulillaah nggak ribet daptar mudah	5	positif	id	alhamdulillaah nggak ribet daptar mudah	['alhamdulillaah', 'nggak', 'ribet', 'daptar', 'mudah']	['alhamdulillaah', 'enggak', 'ribet', 'daftar', 'mudah']	['alhamdulillaah', 'ribet', 'daftar', 'mudah']	['alhamdulillaah', 'ribet', 'daftar', 'mudah']
Alhamdulillah semoga bermanfaat	5	positif	id	alhamdulillah semoga bermanfaat	['alhamdulillah', 'semoga', 'bermanfaat']	['alhamdulillah', 'semoga', 'bermanfaat']	['alhamdulillah', 'semoga', 'bermanfaat']	['alhamdulillah', 'moga', 'manfaat']
Alhamdulillah, semoga semakin berkah	5	positif	id	alhamdulillah semoga semakin berkah	['alhamdulillah', 'semoga', 'semakin', 'berkah']	['alhamdulillah', 'semoga', 'semakin', 'berkah']	['alhamdulillah', 'semoga', 'berkah']	['alhamdulillah', 'moga', 'berkah']
Alhamdulillah...baru daftar lancar, tinggal isi saldo linkaja....	4	positif	id	alhamdulillahbaru daftar lancar tinggal isi saldo linkaja	['alhamdulillahbaru', 'daftar', 'lancar', 'tinggal', 'isi', 'saldo', 'linkaja']	['alhamdulillahbaru', 'daftar', 'lancar', 'tinggal', 'isi', 'saldo', 'linkaja']	['alhamdulillahbaru', 'daftar', 'lancar', 'tinggal', 'isi', 'saldo', 'linkaja']	['alhamdulillahbaru', 'daftar', 'lancar', 'tinggal', 'isi', 'saldo', 'linkaja']
Amat brt manfaat aplikasi ini bagi saya.	5	positif	id	amat brt manfaat aplikasi ini bagi saya	['amat', 'brt', 'manfaat', 'aplikasi', 'ini', 'bagi', 'saya']	['amat', 'berarti', 'manfaat', 'aplikasi', 'ini', 'bagi', 'saya']	['manfaat', 'aplikasi']	['manfaat', 'aplikasi']
Antrian makin panjang.ribet pokonya	1	negatif	id	antrian makin panjangribet pokonya	['antrian', 'makin', 'panjangribet', 'pokonya']	['antrian', 'makin', 'panjangribet', 'pokoknya']	['antrian', 'panjangribet', 'pokoknya']	['antri', 'panjangribet', 'pokok']
Apaan sih apk ribet	1	negatif	id	apaan sih apk ribet	['apaan', 'sih', 'apk', 'ribet']	['apaan', 'sih', 'aplikasi', 'ribet']	['aplikasi', 'ribet']	['aplikasi', 'ribet']
apakah iya ini di perlukan ???	2	negatif	id	apakah iya ini di perlukan	['apakah', 'iya', 'ini', 'di', 'perlukan']	['apakah', 'iya', 'ini', 'di', 'perlukan']	['iya', 'perlukan']	['iya', 'perlu']
apakah saya sudah bisa mendapatkan vespa nya	5	positif	id	apakah saya sudah bisa mendapatkan vespa nya	['apakah', 'saya', 'sudah', 'bisa', 'mendapatkan', 'vespa', 'nya']	['apakah', 'saya', 'sudah', 'bisa', 'mendapatkan', 'vespa', 'nya']	['vespa']	['vespa']
Apalikasi simpel sangat mudah di gunakan, good joob pertamina, telah menghadirkan fitur yang sangat berguna sekali buat para pengendara, semoga kedepannya aplikasi ini lebih ditingakatkan lagi supaya setiap orang bisa menggunakannya dengan mudah	5	positif	id	apalikasi simpel sangat mudah di gunakan good joob pertamina telah menghadirkan fitur yang sangat berguna sekali buat para pengendara semoga kedepannya aplikasi ini lebih ditingakatkan lagi supaya setiap orang bisa menggunakannya dengan mudah	['apalikasi', 'simpel', 'sangat', 'mudah', 'di', 'gunakan', 'good', 'joob', 'pertamina', 'telah', 'menghadirkan', 'fitur', 'yang', 'sangat', 'berguna', 'sekali', 'buat', 'para', 'pengendara', 'semoga', 'kedepannya', 'aplikasi', 'ini', 'lebih', 'ditingakatkan', 'lagi', 'supaya', 'setiap', 'orang', 'bisa', 'menggunakannya', 'dengan', 'mudah']	['apalikasi', 'simpel', 'sangat', 'mudah', 'di', 'gunakan', 'good', 'kerja', 'pertamina', 'telah', 'menghadirkan', 'fitur', 'yang', 'sangat', 'berguna', 'sekali', 'buat', 'para', 'pengendara', 'semoga', 'kedepannya', 'aplikasi', 'ini', 'lebih', 'ditingakatkan', 'lagi', 'supaya', 'setiap', 'orang', 'bisa', 'menggunakannya', 'dengan', 'mudah']	['apalikasi', 'simpel', 'mudah', 'good', 'kerja', 'pertamina', 'menghadirkan', 'fitur', 'berguna', 'pengendara', 'semoga', 'kedepannya', 'aplikasi', 'ditingakatkan', 'orang', 'menggunakannya', 'mudah']	['apalikasi', 'simpel', 'mudah', 'good', 'kerja', 'pertamina', 'hadir', 'fitur', 'guna', 'kendara', 'moga', 'depan', 'aplikasi', 'ditingakatkan', 'orang', 'guna', 'mudah']
Apk bagus ,, tapi keluhan saya kemarenny beli pertalite menggunakan barcode ,pihak spu sudah men scane barcod saya ,tapi knapa nota pembelian tidak masuk dlm info transaksi..	4	positif	id	apk bagus tapi keluhan saya kemarenny beli pertalite menggunakan barcode pihak spu sudah men scane barcod saya tapi knapa nota pembelian tidak masuk dlm info transaksi	['apk', 'bagus', 'tapi', 'keluhan', 'saya', 'kemarenny', 'beli', 'pertalite', 'menggunakan', 'barcode', 'pihak', 'spu', 'sudah', 'men', 'scane', 'barcod', 'saya', 'tapi', 'knapa', 'nota', 'pembelian', 'tidak', 'masuk', 'dlm', 'info', 'transaksi']	['aplikasi', 'bagus', 'tapi', 'keluhan', 'saya', 'kemarinnya', 'beli', 'pertalite', 'menggunakan', 'barcode', 'pihak', 'spbu', 'sudah', 'men', 'scane', 'barcode', 'saya', 'tapi', 'kenapa', 'nota', 'pembelian', 'tidak', 'masuk', 'dalam', 'info', 'transaksi']	['aplikasi', 'bagus', 'keluhan', 'kemarinnya', 'beli', 'pertalite', 'barcode', 'spbu', 'men', 'scane', 'barcode', 'nota', 'pembelian', 'masuk', 'info', 'transaksi']	['aplikasi', 'bagus', 'keluh', 'kemarin', 'beli', 'pertalite', 'barcode', 'spbu', 'men', 'scane', 'barcode', 'nota', 'beli', 'masuk', 'info', 'transaksi']
Apk cacat, gajelas, najis, kalo belum sempurna jangan dibikin apk dulu. Udah verifikasi lewat SMS gaada yg masuk sama sekali, mana kalau keluar dari apk harus ngulang ngisi dari awal lagi, malah makin ribet, harusnya kasih tutorial cara pendaftaran dll biar kaga ngeribetin begini! Ga di ujicoba dulu gitu sebelumya?Jelek bgt asli, apk belum sempurna dah di Up aja.	1	negatif	id	apk cacat gajelas najis kalo belum sempurna jangan dibikin apk dulu udah verifikasi lewat sms gaada yg masuk sama sekali mana kalau keluar dari apk harus ngulang ngisi dari awal lagi malah makin ribet harusnya kasih tutorial cara pendaftaran dll biar kaga ngeribetin begini ga di ujicoba dulu gitu sebelumyajelek bgt asli apk belum sempurna dah di up aja	['apk', 'cacat', 'gajelas', 'najis', 'kalo', 'belum', 'sempurna', 'jangan', 'dibikin', 'apk', 'dulu', 'udah', 'verifikasi', 'lewat', 'sms', 'gaada', 'yg', 'masuk', 'sama', 'sekali', 'mana', 'kalau', 'keluar', 'dari', 'apk', 'harus', 'ngulang', 'ngisi', 'dari', 'awal', 'lagi', 'malah', 'makin', 'ribet', 'harusnya', 'kasih', 'tutorial', 'cara', 'pendaftaran', 'dll', 'biar', 'kaga', 'ngeribetin', 'begini', 'ga', 'di', 'ujicoba', 'dulu', 'gitu', 'sebelumyajelek', 'bgt', 'asli', 'apk', 'belum', 'sempurna', 'dah', 'di', 'up', 'aja']	['aplikasi', 'cacat', 'enggak jelas', 'najis', 'kalo', 'belum', 'sempurna', 'jangan', 'dibikin', 'aplikasi', 'dulu', 'sudah', 'verifikasi', 'lewat', 'sms', 'enggak ada', 'yang', 'masuk', 'sama', 'sekali', 'mana', 'kalau', 'keluar', 'dari', 'aplikasi', 'harus', 'ngulang', 'ngisi', 'dari', 'awal', 'lagi', 'malah', 'makin', 'ribet', 'harusnya', 'kasih', 'tutorial', 'cara', 'pendaftaran', 'dll', 'biar', 'kagak', 'ngeribetin', 'begini', 'enggak', 'di', 'ujicoba', 'dulu', 'begitu', 'sebelumyajelek', 'banget', 'asli', 'aplikasi', 'belum', 'sempurna', 'deh', 'di', 'unggah', 'saja']	['aplikasi', 'cacat', 'enggak jelas', 'najis', 'sempurna', 'dibikin', 'aplikasi', 'verifikasi', 'sms', 'enggak ada', 'masuk', 'aplikasi', 'ngulang', 'ngisi', 'ribet', 'kasih', 'tutorial', 'pendaftaran', 'dll', 'kagak', 'ngeribetin', 'ujicoba', 'sebelumyajelek', 'banget', 'asli', 'aplikasi', 'sempurna', 'deh', 'unggah']	['aplikasi', 'cacat', 'enggak jelas', 'najis', 'sempurna', 'bikin', 'aplikasi', 'verifikasi', 'sms', 'enggak ada', 'masuk', 'aplikasi', 'ngulang', 'ngisi', 'ribet', 'kasih', 'tutorial', 'daftar', 'dll', 'kagak', 'ngeribetin', 'ujicoba', 'sebelumyajelek', 'banget', 'asli', 'aplikasi', 'sempurna', 'deh', 'unggah']
Apk cukup bagus	4	positif	id	apk cukup bagus	['apk', 'cukup', 'bagus']	['aplikasi', 'cukup', 'bagus']	['aplikasi', 'bagus']	['aplikasi', 'bagus']
Apk ga bagus sama sekali dah 7x daftar ga pernah sukses	2	negatif	id	apk ga bagus sama sekali dah x daftar ga pernah sukses	['apk', 'ga', 'bagus', 'sama', 'sekali', 'dah', 'x', 'daftar', 'ga', 'pernah', 'sukses']	['aplikasi', 'enggak', 'bagus', 'sama', 'sekali', 'deh', 'kali', 'daftar', 'enggak', 'pernah', 'sukses']	['aplikasi', 'bagus', 'deh', 'kali', 'daftar', 'sukses']	['aplikasi', 'bagus', 'deh', 'kali', 'daftar', 'sukses']
apk gajelas memperibet rakyat kecil	1	negatif	id	apk gajelas memperibet rakyat kecil	['apk', 'gajelas', 'memperibet', 'rakyat', 'kecil']	['aplikasi', 'enggak jelas', 'memperibet', 'rakyat', 'kecil']	['aplikasi', 'enggak jelas', 'memperibet', 'rakyat']	['aplikasi', 'enggak jelas', 'memperibet', 'rakyat']
Apk gk jelas gw satirin masuk ugd lu	1	negatif	id	apk gk jelas gw satirin masuk ugd lu	['apk', 'gk', 'jelas', 'gw', 'satirin', 'masuk', 'ugd', 'lu']	['aplikasi', 'enggak', 'jelas', 'gue', 'satirin', 'masuk', 'ugd', 'lu']	['aplikasi', 'gue', 'satirin', 'masuk', 'ugd', 'lu']	['aplikasi', 'gue', 'satirin', 'masuk', 'ugd', 'lu']
Apk jarang promo	2	negatif	id	apk jarang promo	['apk', 'jarang', 'promo']	['aplikasi', 'jarang', 'promo']	['aplikasi', 'jarang', 'promo']	['aplikasi', 'jarang', 'promo']
apk menyusahkan masyarakat	1	negatif	id	apk menyusahkan masyarakat	['apk', 'menyusahkan', 'masyarakat']	['aplikasi', 'menyusahkan', 'masyarakat']	['aplikasi', 'menyusahkan', 'masyarakat']	['aplikasi', 'susah', 'masyarakat']
Apk menyusahkan masyarakat semoga kedepan ny kebijakan ini di cabut oleh pemerintah	1	negatif	id	apk menyusahkan masyarakat semoga kedepan ny kebijakan ini di cabut oleh pemerintah	['apk', 'menyusahkan', 'masyarakat', 'semoga', 'kedepan', 'ny', 'kebijakan', 'ini', 'di', 'cabut', 'oleh', 'pemerintah']	['aplikasi', 'menyusahkan', 'masyarakat', 'semoga', 'kedepan', 'nya', 'kebijakan', 'ini', 'di', 'cabut', 'oleh', 'pemerintah']	['aplikasi', 'menyusahkan', 'masyarakat', 'semoga', 'kedepan', 'kebijakan', 'cabut', 'pemerintah']	['aplikasi', 'susah', 'masyarakat', 'moga', 'depan', 'bijak', 'cabut', 'perintah']
Apk mudah dipergunakan	5	positif	id	apk mudah dipergunakan	['apk', 'mudah', 'dipergunakan']	['aplikasi', 'mudah', 'dipergunakan']	['aplikasi', 'mudah']	['aplikasi', 'mudah']
Apk nya sangat membantu saya,terimakasih my pertaminaðŸ˜Š	5	positif	id	apk nya sangat membantu sayaterimakasih my pertamina 	['apk', 'nya', 'sangat', 'membantu', 'sayaterimakasih', 'my', 'pertamina', '']	['aplikasi', 'nya', 'sangat', 'membantu', 'sayaterimakasih', 'my', 'pertamina', '']	['aplikasi', 'membantu', 'sayaterimakasih', 'my', 'pertamina', '']	['aplikasi', 'bantu', 'sayaterimakasih', 'my', 'pertamina', '']
Apk penambah beban	1	negatif	id	apk penambah beban	['apk', 'penambah', 'beban']	['aplikasi', 'penambah', 'beban']	['aplikasi', 'penambah', 'beban']	['aplikasi', 'tambah', 'beban']
Apk yang menyengsarakan MASYARAKAT +62	1	negatif	id	apk yang menyengsarakan masyarakat	['apk', 'yang', 'menyengsarakan', 'masyarakat']	['aplikasi', 'yang', 'menyengsarakan', 'masyarakat']	['aplikasi', 'menyengsarakan', 'masyarakat']	['aplikasi', 'sengsara', 'masyarakat']
Apk yg mempermudahkan kita membeli bensin	5	positif	id	apk yg mempermudahkan kita membeli bensin	['apk', 'yg', 'mempermudahkan', 'kita', 'membeli', 'bensin']	['aplikasi', 'yang', 'mempermudahkan', 'kita', 'membeli', 'bensin']	['aplikasi', 'mempermudahkan', 'membeli', 'bensin']	['aplikasi', 'mudah', 'beli', 'bensin']
Apkikasi nya bgus bsa mmbantu ,mudah d fhami,mski msih da kkurangan,.semangatt buat PERTAMINA	4	positif	id	apkikasi nya bgus bsa mmbantu mudah d fhamimski msih da kkurangansemangatt buat pertamina	['apkikasi', 'nya', 'bgus', 'bsa', 'mmbantu', 'mudah', 'd', 'fhamimski', 'msih', 'da', 'kkurangansemangatt', 'buat', 'pertamina']	['apkikasi', 'nya', 'bagus', 'bisa', 'membantu', 'mudah', 'di', 'fhamimski', 'masih', 'sudah', 'kkurangansemangatt', 'buat', 'pertamina']	['apkikasi', 'bagus', 'membantu', 'mudah', 'fhamimski', 'kkurangansemangatt', 'pertamina']	['apkikasi', 'bagus', 'bantu', 'mudah', 'fhamimski', 'kkurangansemangatt', 'pertamina']
Apknya payah susah login	2	negatif	id	apknya payah susah login	['apknya', 'payah', 'susah', 'login']	['apknya', 'payah', 'susah', 'login']	['apknya', 'payah', 'susah', 'login']	['apknya', 'payah', 'susah', 'login']
